0.0001,0.6
0.0002,3
0.0003,4.8
0.0004,8.4
0.0005,12
0.0006,-12
0.0007,-8.4
0.0008,-4.8
0.0009,-3
0.001,-0.6
0.0011,0.6
0.0012,3
0.0013,4.8
0.0014,8.4
0.0015,12
0.0016,-12
0.0017,-8.4
0.0018,-4.8
0.0019,-3
0.002,-0.6
0.0021,0.6
0.0022,3
0.0023,4.8
0.0024,8.4
0.0025,12
0.0026,-12
0.0027,-8.4
0.0028,-4.8
0.0029,-3
0.003,-0.6
0.0031,0.6
0.0032,3
0.0033,4.8
0.0034,8.4
0.0035,12
0.0036,-12
0.0037,-8.4
0.0038,-4.8
0.0039,-3
0.004,-0.6
0.0041,0.6
0.0042,3
0.0043,4.8
0.0044,8.4
0.0045,12
0.0046,-12
0.0047,-8.4
0.0048,-4.8
0.0049,-3
0.005,-0.6
0.0051,0.6
0.0052,3
0.0053,4.8
0.0054,8.4
0.0055,12
0.0056,-12
0.0057,-8.4
0.0058,-4.8
0.0059,-3
0.006,-0.6
0.0061,0.6
0.0062,3
0.0063,4.8
0.0064,8.4
0.0065,12
0.0066,-12
0.0067,-8.4
0.0068,-4.8
0.0069,-3
0.007,-0.6
0.0071,0.6
0.0072,3
0.0073,4.8
0.0074,8.4
0.0075,12
0.0076,-12
0.0077,-8.4
0.0078,-4.8
0.0079,-3
0.008,-0.6
